numeroOrden,telefono,monto,metodoPago,status,folio,operador
385741883,5017,20.0,TARJETA,APLICADO,X-85578,BLUE
813921051,5019,10.0,TARJETA,CANCELADO,,BLUE
206986608,5017,150.0,OODI,FALLIDO,,BLUE
103827609,5019,20.0,EFECTIVO,APLICADO,X-31865,BLUE
734447368,5017,30.0,OODI,CANCELADO,,BLUE
511781078,5017,100.0,TARJETA,APLICADO,X-68074,BLUE
883702946,5019,300.0,EFECTIVO,APLICADO,P-69799,BLUE
305717022,5017,100.0,TARJETA,APLICADO,X-52906,BLUE
830500888,5001,200.0,OODI,FALLIDO,,BLUE
171061624,5001,10.0,TARJETA,APLICADO,P-38785,BLUE
